shade_code,color_name,hex_code,L,a,b,lab_source
PANTONE 212U,,#F56D9E,64.02,56.83,-0.44,hex
PANTONE 213C,,#E61577,50.33,76.64,2.31,hex
PANTONE 213U,,#E95485,57.43,61.33,4.26,hex
PANTONE 214C,,#D00063,44.68,72.19,5.95,hex
PANTONE 214U,,#D1517A,52.78,54.06,3.58,hex
PANTONE 215C,,#AA1054,37.04,60.44,3.48,hex
PANTONE 215U,,#AE5171,47.08,41.40,0.03,hex
PANTONE 216C,,#7A1D42,27.87,42.51,0.83,hex
PANTONE 216U,,#8A5566,42.55,24.43,-0.47,hex
PANTONE 217C,,#ECBBDD,81.07,23.05,-10.25,hex
PANTONE 217U,,#F4C1E1,83.34,23.26,-8.93,hex
PANTONE 218C,,#E86FB8,63.33,55.15,-16.49,hex
PANTONE 218U,,#EF84B9,68.29,47.22,-9.52,hex
PANTONE 219C,,#E0218A,50.42,75.04,-9.20,hex
PANTONE 219U,,#E45C96,58.37,58.23,-4.41,hex
PANTONE 220C,,#AE0055,37.22,63.45,3.21,hex
PANTONE 220U,,#B04C75,46.56,45.06,-3.12,hex
PANTONE 221C,,#96004B,31.79,57.10,1.24,hex
PANTONE 221U,,#9E4C6E,43.60,37.99,-3.52,hex
PANTONE 222C,,#6C193F,24.46,39.39,-2.47,hex
PANTONE 222U,,#82566B,41.94,21.57,-4.55,hex
PANTONE 223C,,#F293D1,72.46,44.15,-16.56,hex
PANTONE 223U,,#F9A4D8,77.07,38.75,-13.38,hex
PANTONE 224C,,#EF6ABF,63.69,60.54,-19.82,hex
PANTONE 224U,,#F587C7,70.08,49.68,-14.57,hex
PANTONE 225C,,#E5239D,52.17,77.70,-17.82,hex
PANTONE 225U,,#EA60A7,60.47,60.33,-11.04,hex
PANTONE 226C,,#D60077,46.49,75.06,-3.69,hex
PANTONE 226U,,#DC4588,53.23,63.67,-3.91,hex
PANTONE 227C,,#AE005F,37.53,64.27,-2.77,hex
PANTONE 227U,,#AF4879,45.81,47.15,-6.68,hex
PANTONE 228C,,#8A0753,29.87,53.97,-7.19,hex
PANTONE 228U,,#8D4D6D,41.34,31.21,-6.53,hex
PANTONE 229C,,#6A1D44,24.83,37.77,-5.36,hex
PANTONE 229U,,#7A5466,40.31,18.77,-4.00,hex
PANTONE 230C,,#F7A7DB,77.60,37.00,-14.25,hex
PANTONE 230U,,#FEB2E0,80.90,34.38,-11.92,hex
PANTONE 231C,,#F575C9,66.79,58.69,-20.67,hex
PANTONE 231U,,#F984CA,70.11,52.87,-16.14,hex
PANTONE 232C,,#EF40B0,57.23,74.83,-21.09,hex
PANTONE 232U,,#F16AB7,63.70,60.04,-15.24,hex
PANTONE 233C,,#C90081,44.24,73.23,-13.48,hex
PANTONE 233U,,#C84687,49.99,57.43,-8.48,hex
PANTONE 234C,,#A6006B,36.31,63.66,-12.43,hex
PANTONE 234U,,#AA4C7D,45.90,44.14,-9.06,hex
PANTONE 235C,,#890857,29.87,54.00,-9.84,hex
PANTONE 235U,,#914E72,42.28,32.89,-8.14,hex
PANTONE 2364C,Violet,#66596C,39.67,9.19,-8.90,std
PANTONE 2365C,,#EFC3E4,83.43,21.03,-10.45,hex
PANTONE 2365U,,#F8BFE7,83.44,26.69,-11.96,hex
PANTONE 236C,,#F2B0DF,79.19,31.26,-14.08,hex
PANTONE 236U,,#F8A6DE,77.58,38.34,-15.89,hex
PANTONE 2375C,,#E270CD,63.48,56.07,-28.21,hex
PANTONE 2375U,,#EA88D2,69.30,47.40,-22.00,hex
PANTONE 237C,,#EE86D3,69.42,49.82,-22.32,hex
PANTONE 237U,,#F28DD2,71.27,47.38,-18.91,hex
PANTONE 2385C,,#D733B4,51.97,73.59,-31.88,hex
PANTONE 2385U,,#E06FC2,62.60,54.22,-23.37,hex
PANTONE 238C,,#E653BC,58.64,67.39,-25.96,hex
PANTONE 238U,,#E971C0,64.12,55.66,-19.82,hex
PANTONE 2395C,,#C40098,44.24,74.74,-27.57,hex
PANTONE 2395U,,#D557AF,56.15,59.24,-22.52,hex
PANTONE 239C,,#E032AF,53.20,75.24,-26.93,hex
PANTONE 239U,,#DB55AA,56.55,61.11,-18.93,hex
PANTONE 2405C,,#A70084,37.63,66.72,-26.08,hex
PANTONE 2405U,,#BB569D,51.45,49.36,-19.55,hex
PANTONE 240C,,#C41E99,45.59,71.06,-26.08,hex
PANTONE 240U,,#C15598,51.95,50.93,-15.74,hex
PANTONE 2415C,,#970076,33.75,61.82,-23.61,hex
PANTONE 2415U,,#AB5491,48.32,43.46,-17.42,hex
PANTONE 241C,,#AC0481,38.63,66.90,-22.59,hex
PANTONE 241U,,#AF548B,48.66,43.81,-13.26,hex
PANTONE 2425C,,#820063,28.51,55.16,-19.92,hex
PANTONE 2425U,,#975381,44.73,34.71,-13.51,hex
PANTONE 242C,,#7A1A57,28.29,46.05,-12.52,hex
PANTONE 242U,,#8D5977,44.43,26.04,-8.03,hex
PANTONE 243C,,#E8B7E5,80.00,25.26,-16.20,hex
PANTONE 243U,,#F1B2E6,79.76,31.07,-17.01,hex
PANTONE 244C,,#E6A2E0,74.85,34.92,-21.29,hex
PANTONE 244U,,#EB9ADE,73.58,40.41,-22.09,hex
PANTONE 245C,,#DF81D6,66.71,48.25,-28.31,hex
PANTONE 245U,,#E07FD0,66.20,48.55,-25.73,hex
PANTONE 246C,,#C70BAC,46.13,76.83,-36.54,hex
PANTONE 246U,,#CE57B3,55.27,57.87,-26.27,hex
PANTONE 247C,,#B3009D,41.25,72.21,-35.52,hex
PANTONE 247U,,#BD51A2,51.05,53.11,-23.07,hex
PANTONE 248C,,#9E0389,36.26,65.30,-31.46,hex
PANTONE 248U,,#A14F8C,45.72,42.01,-18.52,hex
PANTONE 249C,,#7B2266,30.19,45.57,-19.34,hex
PANTONE 249U,,#885779,43.41,25.72,-10.85,hex
PANTONE 250C,,#E3C0E6,81.70,18.97,-14.23,hex
PANTONE 250U,,#EEBAE9,81.39,26.36,-16.20,hex
PANTONE 251C,,#D99CE1,72.21,34.15,-26.00,hex
PANTONE 251U,,#E096DF,71.55,39.21,-25.84,hex
PANTONE 252C,,#CA65D1,58.48,55.27,-38.49,hex
PANTONE 252U,,#CE70CC,60.85,50.05,-31.94,hex
PANTONE 253C,,#A91BB0,41.78,69.57,-46.16,hex
PANTONE 253U,,#B456AE,51.17,50.10,-30.02,hex
PANTONE 254C,,#962399,37.82,60.00,-38.87,hex
PANTONE 254U,,#9E549A,46.90,40.92,-25.11,hex
PANTONE 255C,,#70266C,29.20,41.88,-24.90,hex
PANTONE 255U,,#83577D,42.95,24.67,-14.04,hex
PANTONE 2562C,,#CFA5E4,73.40,26.68,-25.89,hex
PANTONE 2562U,,#DDAEE9,77.00,27.25,-23.00,hex
PANTONE 2563C,,#C79DD8,70.33,26.09,-24.09,hex
PANTONE 2563U,,#CDA2D9,72.12,25.48,-21.86,hex
PANTONE 2567C,,#BB99DA,68.32,24.90,-28.36,hex
PANTONE 2567U,,#C09FDB,70.26,23.36,-25.90,hex
PANTONE 256C,,#D9BFE0,80.40,15.05,-13.04,hex
PANTONE 256U,,#D4B4DA,77.10,18.18,-14.79,hex
PANTONE 2572C,,#C084DC,64.06,38.46,-36.03,hex
PANTONE 2572U,,#CD90DE,68.17,36.30,-30.66,hex
PANTONE 2573C,,#B279C8,59.26,36.09,-32.39,hex
PANTONE 2573U,,#B989CB,63.77,30.02,-27.05,hex
PANTONE 2577C,,#A276CC,57.07,33.86,-38.20,hex
PANTONE 2577U,,#A47EC6,58.87,28.55,-31.97,hex
PANTONE 257C,,#CBA4D4,72.23,22.75,-18.96,hex
PANTONE 257U,,#C29BCB,68.91,22.96,-19.10,hex
PANTONE 2582C,,#A24CC8,48.29,55.23,-49.83,hex
PANTONE 2582U,,#BB76CF,59.91,41.88,-35.25,hex
PANTONE 2583C,,#9950B2,46.61,46.33,-39.78,hex
PANTONE 2583U,,#A372B5,55.23,31.33,-27.93,hex
PANTONE 2587C,,#8348B5,42.45,45.51,-48.33,hex
PANTONE 2587U,,#936DB7,52.46,29.67,-33.52,hex
PANTONE 258C,,#92499E,43.28,43.89,-33.27,hex
PANTONE 258U,,#A276AE,55.78,27.27,-23.07,hex
PANTONE 2592C,,#9016B2,37.33,66.64,-54.72,hex
PANTONE 2592U,,#AA60BF,52.59,45.40,-37.75,hex
PANTONE 2593C,,#7E2B97,34.80,51.56,-42.70,hex
PANTONE 2593U,,#8E5DA0,47.13,32.14,-28.47,hex
PANTONE 2597C,,#59058D,24.18,54.55,-54.04,hex
PANTONE 2597U,,#825AA4,45.27,31.09,-33.83,hex
PANTONE 259C,,#6C1B72,27.26,46.48,-31.85,hex
PANTONE 259U,,#94679C,49.97,27.49,-21.65,hex
PANTONE 2602C,,#7D0996,31.25,60.77,-47.82,hex
PANTONE 2602U,,#9757A6,47.17,39.53,-31.86,hex
PANTONE 2603C,,#68177F,26.99,49.54,-40.59,hex
PANTONE 2603U,,#845991,44.37,27.97,-23.92,hex
PANTONE 2607C,,#4F027C,20.68,50.32,-49.13,hex
PANTONE 2607U,,#7A5896,43.24,26.48,-28.75,hex
PANTONE 260C,,#5F1D5F,24.12,38.85,-24.65,hex
PANTONE 260U,,#8A658D,47.80,22.13,-16.21,hex
PANTONE 2612C,,#6A1A7A,27.32,47.93,-36.87,hex
PANTONE 2612U,,#86578D,43.96,28.95,-22.13,hex
PANTONE 2613C,,#611774,25.00,45.89,-36.86,hex
PANTONE 2613U,,#7D5787,42.65,24.63,-20.62,hex
PANTONE 2617C,,#4B0B71,19.75,45.00,-43.61,hex
PANTONE 2617U,,#735489,40.88,23.54,-24.66,hex
PANTONE 261C,,#591E55,22.68,34.79,-20.36,hex
PANTONE 261U,,#7F6282,45.44,17.70,-13.32,hex
PANTONE 2622C,,#572458,23.65,31.70,-20.87,hex
PANTONE 2622U,,#7B5B7A,42.91,18.78,-12.35,hex
PANTONE 2623C,,#581963,22.55,39.58,-29.85,hex
PANTONE 2623U,,#75557A,40.71,20.23,-15.76,hex
PANTONE 2627C,,#43125F,17.70,36.90,-35.20,hex
PANTONE 2627U,,#6E527C,39.25,20.03,-19.30,hex
PANTONE 262C,,#4F2248,21.11,26.96,-14.18,hex
PANTONE 262U,,#755E74,42.84,13.50,-8.88,hex
PANTONE 2635C,,#BFAFE4,74.41,16.14,-24.48,hex
PANTONE 2635U,,#C9B7E8,77.35,15.77,-22.09,hex
PANTONE 263C,,#D8CBEB,83.60,10.43,-14.14,hex
PANTONE 263U,,#DCC6EA,82.67,14.21,-14.97,hex
PANTONE 2645C,,#AA94DE,65.75,23.42,-34.68,hex
PANTONE 2645U,,#B9A3E3,70.91,20.69,-29.34,hex
PANTONE 264C,,#BCA8E6,72.50,19.51,-28.51,hex
PANTONE 264U,,#BFA1E3,70.95,23.65,-29.24,hex
PANTONE 2655C,,#9173D3,55.06,32.50,-45.45,hex
PANTONE 2655U,,#A288D9,61.91,26.69,-37.93,hex
PANTONE 265C,,#8D65D2,51.41,39.22,-50.71,hex
PANTONE 265U,,#9D7AD2,57.79,31.56,-40.50,hex
PANTONE 2665C,,#7A52C7,44.65,42.50,-55.34,hex
PANTONE 2665U,,#8C6FCA,53.18,31.15,-43.35,hex
PANTONE 266C,,#6732BA,35.42,52.09,-62.82,hex
PANTONE 266U,,#8A65C4,50.33,34.87,-44.44,hex
PANTONE 267C,,#4F1F91,25.82,46.13,-53.89,hex
PANTONE 267U,,#7F5DAE,46.17,30.91,-38.32,hex
PANTONE 2685C,,#3B0084,18.35,50.68,-58.16,hex
PANTONE 2685U,,#765BA7,44.41,27.73,-37.05,hex
PANTONE 268C,,#4A217E,23.84,39.20,-45.27,hex
PANTONE 268U,,#735990,42.47,22.19,-26.42,hex
PANTONE 2695C,,#381D59,17.65,27.02,-31.36,hex
PANTONE 2695U,,#6C5D80,42.12,13.52,-17.35,hex
PANTONE 269C,,#452663,22.13,27.84,-30.68,hex
PANTONE 269U,,#6E587F,40.94,17.05,-18.53,hex
PANTONE 2705C,,#A29FE0,67.92,15.31,-32.47,hex
PANTONE 2705U,,#BAB6E9,75.93,11.84,-24.90,hex
PANTONE 2706C,,#C4CBEA,82.05,3.82,-16.09,hex
PANTONE 2706U,,#CCD4F1,85.14,3.04,-15.12,hex
PANTONE 2707C,,#BDD0EE,82.97,-0.13,-16.89,hex
PANTONE 2707U,,#C7DBF4,86.67,-1.55,-14.44,hex
PANTONE 2708C,,#B1C5EA,79.17,1.20,-20.57,hex
PANTONE 2708U,,#B2C9EF,80.44,0.51,-21.31,hex
PANTONE 270C,,#ADACDC,71.93,10.40,-24.03,hex
PANTONE 270U,,#ADAEDE,72.51,9.75,-24.23,hex
PANTONE 2715C,,#8580D8,57.45,23.04,-44.56,hex
PANTONE 2715U,,#9F98DF,65.87,18.16,-35.11,hex
PANTONE 2716C,,#94A1E2,67.48,10.69,-34.32,hex
PANTONE 2716U,,#A2AFE9,72.38,8.57,-30.50,hex
PANTONE 2717C,,#A1BDEA,76.01,0.84,-25.47,hex
PANTONE 2717U,,#A9C8F4,79.77,-0.37,-25.06,hex
PANTONE 2718C,,#547ED9,53.83,13.44,-51.06,hex
PANTONE 2718U,,#6A87D8,57.41,12.24,-44.73,hex
PANTONE 271C,,#9490D2,62.42,16.28,-33.32,hex
PANTONE 271U,,#9A9BD4,65.80,12.26,-29.16,hex
PANTONE 2725C,,#5E53C7,42.29,35.96,-59.28,hex
PANTONE 2725U,,#8980D4,57.57,23.01,-42.10,hex
PANTONE 2726C,,#4555C7,41.03,30.30,-61.41,hex
PANTONE 2726U,,#717ACF,53.96,18.95,-45.10,hex
PANTONE 2727C,,#3878DB,51.14,13.51,-56.56,hex
PANTONE 2727U,,#6490E8,60.32,10.67,-49.08,hex
PANTONE 2728C,,#0047BE,34.44,30.19,-67.01,hex
PANTONE 2728U,,#5268C2,46.43,18.91,-49.77,hex
PANTONE 272C,,#7973C2,52.09,21.46,-40.61,hex
PANTONE 272U,,#8586C6,58.14,14.64,-33.32,hex
PANTONE 2735C,,#280092,18.04,53.06,-67.52,hex
PANTONE 2735U,,#6857B2,42.72,29.43,-46.29,hex
PANTONE 2736C,,#1E22AE,25.18,48.21,-72.76,hex
PANTONE 2736U,,#5E60BA,44.65,23.91,-47.94,hex
PANTONE 2738C,,#00129D,19.50,49.34,-71.92,hex
PANTONE 2738U,,#474DA4,36.61,23.74,-47.96,hex
PANTONE 273C,,#25177A,17.51,37.52,-53.26,hex
PANTONE 273U,,#645D9B,42.62,18.04,-32.87,hex
PANTONE 2745C,,#22007A,14.09,46.68,-58.95,hex
PANTONE 2745U,,#61559A,40.20,21.88,-36.11,hex
PANTONE 2746C,,#1A1C96,21.02,43.24,-65.05,hex
PANTONE 2746U,,#595CA5,41.99,18.65,-39.86,hex
PANTONE 2747C,,#00237E,18.83,28.92,-53.68,hex
PANTONE 2747U,,#424F90,35.52,14.55,-37.65,hex
PANTONE 2748C,,#001A7B,16.35,33.67,-55.89,hex
PANTONE 2748U,,#484F8C,35.72,14.69,-34.88,hex
PANTONE 274C,,#211265,13.80,32.87,-45.74,hex
PANTONE 274U,,#5F578B,39.77,15.81,-27.75,hex
PANTONE 2755C,,#1B0069,10.94,41.91,-53.15,hex
PANTONE 2755U,,#5D538B,38.51,17.71,-29.74,hex
PANTONE 2756C,,#151D71,16.65,29.15,-48.92,hex
PANTONE 2756U,,#585C8C,40.61,10.83,-27.09,hex
PANTONE 2757C,,#002065,15.34,20.51,-43.27,hex
PANTONE 2757U,,#454F7E,34.73,9.37,-27.86,hex
PANTONE 2758C,,#001D68,14.83,24.01,-46.08,hex
PANTONE 2758U,,#484D7A,34.17,10.27,-26.24,hex
PANTONE 275C,,#1D1157,11.62,28.18,-39.97,hex
PANTONE 275U,,#5D5683,38.94,13.61,-24.20,hex
PANTONE 2765C,,#1B0C55,10.20,30.07,-40.97,hex
PANTONE 2765U,,#574F77,35.89,12.82,-21.60,hex
PANTONE 2766C,,#151C55,13.51,18.77,-35.55,hex
PANTONE 2766U,,#575A7C,39.23,7.24,-19.51,hex
PANTONE 2767C,,#0B2345,13.84,4.96,-24.07,hex
PANTONE 2767U,,#4A4C64,33.02,5.15,-14.23,hex
PANTONE 2768C,,#071D49,11.99,10.86,-29.84,hex
PANTONE 2768U,,#4A4E6D,34.00,6.38,-18.38,hex
PANTONE 276C,,#241A44,12.80,17.03,-24.94,hex
PANTONE 276U,,#5C556F,37.70,8.69,-13.82,hex
PANTONE 277C,,#ABCAE9,80.06,-3.48,-18.73,hex
PANTONE 277U,,#ADCFF1,81.76,-3.67,-20.41,hex
PANTONE 278C,,#8CB4E8,72.26,-0.49,-30.26,hex
PANTONE 278U,,#8DBAEE,74.16,-1.91,-30.58,hex
PANTONE 279C,,#4189DD,56.32,5.06,-49.39,hex
PANTONE 279U,,#5B8EDB,58.68,5.85,-44.47,hex
PANTONE 280C,,#00267F,19.71,27.25,-52.87,hex
PANTONE 280U,,#3C4981,32.50,11.93,-33.28,hex
PANTONE 281C,,#002569,17.19,18.56,-42.86,hex
PANTONE 281U,,#3F4A75,32.34,8.05,-26.04,hex
PANTONE 282C,,#00204E,13.13,9.95,-31.45,hex
PANTONE 282U,,#434967,31.66,5.57,-18.26,hex
PANTONE 283C,,#93BFEB,75.74,-3.84,-26.51,hex
PANTONE 283U,,#9BC7EE,78.45,-5.21,-23.93,hex
PANTONE 284C,,#6CABE7,68.08,-3.47,-36.32,hex
PANTONE 284U,,#7AB1E8,70.46,-3.33,-33.12,hex
PANTONE 285C,,#0077D4,49.43,7.62,-55.39,hex
PANTONE 285U,,#4982CF,53.90,5.63,-45.32,hex
PANTONE 286C,,#0035AD,28.28,35.45,-67.06,hex
PANTONE 286U,,#3255A4,37.58,14.64,-46.46,hex
PANTONE 287C,,#003798,26.73,25.72,-56.89,hex
PANTONE 287U,,#3C5896,38.09,9.43,-37.21,hex
PANTONE 288C,,#003082,22.74,21.42,-49.79,hex
PANTONE 288U,,#3D5588,36.49,6.72,-31.26,hex
PANTONE 289C,,#00234C,13.96,6.66,-28.72,hex
PANTONE 289U,,#434F69,33.57,2.29,-16.58,hex
PANTONE 2905C,,#92C9EB,78.39,-9.43,-22.46,hex
PANTONE 2905U,,#8AC9ED,78.04,-10.96,-24.10,hex
PANTONE 290C,,#BED9ED,85.34,-4.77,-12.79,hex
PANTONE 290U,,#A7D4EE,82.63,-8.72,-17.53,hex
PANTONE 2915C,,#62B4E8,70.22,-10.15,-33.57,hex
PANTONE 2915U,,#64B3E8,70.02,-9.21,-33.88,hex
PANTONE 291C,,#A4CEEC,80.79,-6.90,-19.27,hex
PANTONE 291U,,#7FBEEB,74.40,-8.36,-28.65,hex
PANTONE 2925C,,#0092DD,57.82,-5.16,-47.07,hex
PANTONE 2925U,,#4097DB,60.19,-3.99,-42.16,hex
PANTONE 292C,,#6AB2E7,69.95,-7.74,-33.43,hex
PANTONE 292U,,#62A8E5,66.72,-4.48,-37.38,hex
PANTONE 2935C,,#005BC3,40.28,18.86,-60.40,hex
PANTONE 2935U,,#1B5FAA,40.11,7.55,-46.00,hex
PANTONE 293C,,#0047B6,33.74,27.00,-63.45,hex
PANTONE 293U,,#235BA8,39.01,10.18,-46.57,hex
PANTONE 2945C,,#0053A5,35.79,11.86,-50.00,hex
PANTONE 2945U,,#29588C,36.64,2.16,-33.53,hex
PANTONE 294C,,#003580,24.01,16.95,-46.45,hex
PANTONE 294U,,#385988,37.41,3.00,-29.83,hex
PANTONE 2955C,,#003B6F,24.56,5.14,-34.78,hex
PANTONE 2955U,,#395775,35.93,-1.95,-20.48,hex
PANTONE 295C,,#002D62,19.05,9.40,-35.25,hex
PANTONE 295U,,#375172,33.80,0.33,-21.93,hex
PANTONE 2965C,,#003151,19.18,-1.33,-23.75,hex
PANTONE 2965U,,#3D5265,33.91,-2.70,-13.58,hex
PANTONE 296C,,#002740,14.52,-2.06,-19.54,hex
PANTONE 296U,,#435060,33.51,-0.92,-11.01,hex
PANTONE 2975C,,#A5D9EC,83.80,-12.34,-14.73,hex
PANTONE 2975U,,#8BD5EE,81.43,-16.67,-19.50,hex
PANTONE 297C,,#78C7EB,76.58,-14.74,-25.34,hex
PANTONE 297U,,#7ECCEE,78.34,-15.15,-24.24,hex
PANTONE 2985C,,#40BDE8,71.76,-20.35,-31.27,hex
PANTONE 2985U,,#48B8E7,70.47,-16.99,-32.71,hex
PANTONE 298C,,#42B4E6,69.12,-16.02,-34.27,hex
PANTONE 298U,,#4CB4E7,69.43,-14.28,-34.31,hex
PANTONE 2995C,,#00A2E1,62.74,-12.72,-41.55,hex
PANTONE 2995U,,#0D9DDB,61.05,-11.76,-40.86,hex
PANTONE 299C,,#00A0E2,62.19,-11.25,-42.95,hex
PANTONE 299U,,#1295D8,58.58,-8.16,-43.07,hex
PANTONE 3005C,,#0076CC,48.65,5.08,-52.08,hex
PANTONE 3005U,,#0078BF,48.50,-1.28,-44.87,hex
PANTONE 300C,,#0067C6,43.91,12.21,-56.26,hex
PANTONE 300U,,#006EB6,44.98,1.32,-45.27,hex
PANTONE 3015C,,#0060A1,39.48,1.66,-41.70,hex
PANTONE 3015U,,#216A95,42.46,-6.83,-29.79,hex
PANTONE 301C,,#00529B,34.80,8.34,-45.60,hex
PANTONE 301U,,#28628E,39.81,-3.56,-29.74,hex
PANTONE 3025C,,#00496E,29.13,-4.78,-26.86,hex
PANTONE 3025U,,#37617A,39.18,-6.95,-18.53,hex
PANTONE 302C,Blue,#00436E,23.34,-3.29,-24.45,std
PANTONE 302U,,#375E77,38.11,-6.12,-18.35,hex
PANTONE 3035C,,#003A4F,22.27,-8.28,-17.56,hex
PANTONE 3035U,,#405866,36.04,-5.17,-10.96,hex
PANTONE 303C,,#00344D,20.01,-5.20,-19.76,hex
PANTONE 303U,,#3F5666,35.34,-4.26,-12.02,hex
PANTONE 304C,,#A2DBEB,84.14,-14.43,-13.70,hex
PANTONE 304U,,#8EDDED,83.74,-20.23,-15.46,hex
PANTONE 305C,,#53CAEB,76.11,-23.36,-26.17,hex
PANTONE 305U,,#53CAEC,76.15,-23.06,-26.65,hex
PANTONE 306C,,#00B5E6,68.57,-21.11,-35.18,hex
PANTONE 306U,,#00B4E4,68.20,-21.28,-34.67,hex
PANTONE 307C,,#0070B2,45.36,-1.52,-42.34,hex
PANTONE 307U,,#0074A2,45.77,-10.19,-32.33,hex
PANTONE 308C,,#005883,35.24,-5.58,-30.31,hex
PANTONE 308U,,#266782,40.77,-11.23,-21.00,hex
PANTONE 309C,,#003947,21.51,-11.02,-13.40,hex
PANTONE 309U,,#3F5864,35.90,-6.06,-9.93,hex
PANTONE 3105C,,#6FD2E4,79.08,-24.22,-17.82,hex
PANTONE 3105U,,#4CCEDE,76.65,-30.26,-18.38,hex
PANTONE 310C,,#66CFE6,77.97,-23.99,-20.60,hex
PANTONE 310U,,#5BD0E6,77.90,-26.50,-20.74,hex
PANTONE 3115C,,#00C4DC,72.66,-31.95,-23.45,hex
PANTONE 3115U,,#00BFD3,70.84,-32.45,-21.32,hex
PANTONE 311C,,#00C2E3,72.31,-28.70,-27.78,hex
PANTONE 311U,,#01BEDB,70.83,-29.34,-25.70,hex
PANTONE 3125C,,#00AECE,65.53,-25.74,-26.70,hex
PANTONE 3125U,,#00ABC2,64.18,-28.26,-22.12,hex
PANTONE 312C,,#00A7D4,63.66,-20.06,-32.91,hex
PANTONE 312U,,#00AFD0,65.91,-25.57,-27.22,hex
PANTONE 3135C,,#0092BA,56.19,-18.10,-29.93,hex
PANTONE 3135U,,#008EA6,54.13,-23.06,-21.68,hex
PANTONE 313C,,#0092C7,56.76,-13.36,-36.40,hex
PANTONE 313U,,#008DB1,54.26,-18.63,-27.79,hex
PANTONE 3145C,,#007A97,47.17,-17.74,-23.68,hex
PANTONE 3145U,,#007788,45.59,-21.54,-17.24,hex
PANTONE 314C,,#007FAC,49.68,-12.72,-32.03,hex
PANTONE 314U,,#007D99,48.22,-18.65,-23.24,hex
PANTONE 3155C,,#00667C,39.51,-16.65,-19.37,hex
PANTONE 3155U,,#1B6875,40.27,-17.99,-13.90,hex
PANTONE 315C,,#006685,39.91,-13.22,-24.21,hex
PANTONE 315U,,#206779,40.22,-15.34,-16.40,hex
PANTONE 3165C,,#004F5D,30.36,-15.37,-14.16,hex
PANTONE 3165U,,#2F5C66,36.40,-12.39,-10.50,hex
PANTONE 316C,,#004650,26.62,-15.20,-11.50,hex
PANTONE 316U,,#3E5A62,36.40,-8.15,-7.93,hex
PANTONE 317C,,#BFE5EA,88.47,-11.27,-6.55,hex
PANTONE 317U,,#AEE9E8,88.50,-18.76,-5.58,hex
PANTONE 318C,,#8EDBE5,82.95,-21.20,-12.41,hex
PANTONE 318U,,#6BD9DE,80.75,-30.08,-12.12,hex
PANTONE 319C,,#36CCDA,75.47,-33.29,-18.05,hex
PANTONE 319U,,#25C9D0,74.01,-36.44,-14.87,hex
PANTONE 320C,,#0097AC,57.18,-25.62,-20.44,hex
PANTONE 320U,,#009DA5,58.81,-30.92,-13.98,hex
PANTONE 321C,,#008193,49.26,-22.92,-18.12,hex
PANTONE 321U,,#00838A,49.58,-27.03,-12.37,hex
PANTONE 322C,,#006F7A,42.42,-22.27,-13.70,hex
PANTONE 322U,,#167378,43.93,-23.44,-10.19,hex
PANTONE 323C,,#006068,36.68,-20.71,-11.43,hex
PANTONE 323U,,#2F6165,38.01,-15.56,-7.46,hex
PANTONE 3242C,,#75D9D8,80.94,-29.48,-8.60,hex
PANTONE 3242U,,#5DDBD3,80.57,-36.61,-6.58,hex
PANTONE 3245C,,#7BDDD8,82.31,-30.02,-6.54,hex
PANTONE 3245U,,#4EDCCA,80.22,-41.94,-2.34,hex
PANTONE 3248C,,#7BD2C8,78.74,-28.61,-3.28,hex
PANTONE 3248U,,#6ACEB9,76.50,-34.39,1.43,hex
PANTONE 324C,,#98D9DB,82.60,-19.92,-7.56,hex
PANTONE 324U,,#82D8D5,81.10,-26.65,-6.70,hex
PANTONE 3252C,,#41D2D2,77.20,-37.12,-11.12,hex
PANTONE 3252U,,#00CDC2,74.54,-44.02,-6.52,hex
PANTONE 3255C,,#32D4CB,77.32,-41.73,-7.21,hex
PANTONE 3255U,,#00CFBB,74.96,-46.86,-2.13,hex
PANTONE 3258C,,#43C4B7,72.29,-37.87,-3.80,hex
PANTONE 3258U,,#48C1AC,71.21,-38.58,0.63,hex
PANTONE 325C,,#47C7C7,73.74,-34.25,-10.33,hex
PANTONE 325U,,#40C1BB,71.43,-35.85,-7.26,hex
PANTONE 3262C,,#00BAB9,68.47,-38.24,-10.64,hex
PANTONE 3262U,,#00BAAE,68.15,-41.51,-5.07,hex
PANTONE 3265C,,#00C2B6,70.84,-42.69,-5.48,hex
PANTONE 3265U,,#00C0AA,69.89,-45.23,-0.31,hex
PANTONE 3268C,,#00A994,62.09,-41.56,0.48,hex
PANTONE 3268U,,#28B29A,65.45,-41.22,2.07,hex
PANTONE 326C,,#00AFAD,64.70,-36.87,-9.63,hex
PANTONE 326U,,#00AAA1,62.78,-38.22,-5.80,hex
PANTONE 3272C,,#00A19C,59.79,-35.64,-7.43,hex
PANTONE 3272U,,#00A49A,60.68,-37.61,-4.98,hex
PANTONE 3275C,,#00B09D,64.55,-42.03,-0.96,hex
PANTONE 3275U,,#00AA93,62.38,-42.27,1.46,hex
PANTONE 3278C,,#00997A,56.27,-41.91,6.73,hex
PANTONE 3278U,,#009C82,57.45,-41.00,3.88,hex
PANTONE 327C,,#008579,49.68,-33.42,-2.25,hex
PANTONE 327U,,#008F85,53.32,-34.38,-3.87,hex
PANTONE 3282C,,#008480,49.57,-30.78,-6.52,hex
PANTONE 3282U,,#008780,50.55,-32.20,-5.05,hex
