id,product_id,carrier_resin,material_form,appearance_colour,hardness,moisture_content,antioxidant_content,ash_content,specific_gravity,bulk_density,caco3_content,tio2_percentage,mfr,weather_fastness,light_fastness,colour_migration,dispersion,melting_temperature,heat_stability,toxicity,spec_compliance,higher_olefin_constituent,cbc,carbon_type,volatile_matter_content,toluene_extract,let_down_ratio,ral_pantone_ci
118,16713,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,86503,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,UD10005,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,90007,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20005,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20006,,,,,,100,,14,,,,,,,,,,,,,,,,,,,
160,86507,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,UD10025,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,71505,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,81706A,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,61709,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,61506,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,61505,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,15002,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10003,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,34001N,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10001,,,,1000,,12,,,,,,,,,,,,1,,,,,,,,,
138,20014,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,31503,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,91705,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,60015,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,61708,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,90005,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,86001,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,16514,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,16515,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,40003,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,MT4001,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,MT4002,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,UD10027,11,,12,,,,,,,,,,,,,,,,,,,,,,,,
171,UD10028,11,,12,,,,,,,,,,,,,,,,,,,,,,,,
172,UD10027,11,,12,,,,,,,,,,,,,,,,,,,,,,,,
