id,name,selling_price,remark,date_updated,alphacode,slf_no,ral_shade,pantone_shade,is_final_good
61737,BLUE,1969.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61738,BLUE,1314.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61739,BLUE,1314.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61801,BLUE,2379.0,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
65001,BLUE,7561.22,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
65002,BLUE,416.22,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
65003,BLUE,416.22,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
71261,ORANGE,1312.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71273,ORANGE,2592.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71274,ORANGE,1453.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71276,ORANGE,4222.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71277,ORANGE,5682.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71278,ORANGE,5502.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71281,ORANGE,5152.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71282,ORANGE,5152.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
