rawmaterialid,rawmaterialname,available_stocks,particulars_name,last_updated
RM1610141,,137.0,PE-WHITE-10141,2025-09-29
RM1620000,,180.0,PE-WHITE-20000,2025-09-29
RM1620039,,25.0,PE-WHITE-20039,2025-09-29
RM1620110,,68.0,PE-WHITE-20110,2025-09-29
RM1620120,,194.0,PE-WHITE-20120,2025-09-29
RM1620122,,200.0,PE-WHITE-20122,2025-09-29
RM1620126,,1550.0,PE-WHITE-20126,2025-09-29
RM1620127,,1000.0,PE-WHITE-20127,2025-09-29
RM1620128,,196.0,PE-WHITE-20128,2025-09-29
RM1620136,,27.0,PE-WHITE-20136,2025-09-29
RM1620151,,611.0,PE-WHITE-20151,2025-09-29
RM1620189,,44.0,PE-WHITE-20189,2025-09-29
RM1620190,,20.0,PE-WHITE-20190,2025-09-29
RM1620193,,25.0,PE-WHITE-20193,2025-09-29
RM1620199,,1022.0,PE-WHITE-20199,2025-09-29
RM1620203,,9.0,PE-WHITE-20203,2025-09-29
RM1620208,,3179.0,PE-WHITE-20208,2025-09-29
RM1620209,,104.0,PE-WHITE-20209,2025-09-29
RM1620210,,100.0,PE-WHITE-20210,2025-09-29
RM1620211,,197.0,PE-WHITE-20211,2025-09-29
RM1620213,,635.0,PE-WHITE-20213,2025-09-29
RM1620215,,75.0,PE-WHITE-20215,2025-09-29
RM1620217,,55.0,PE-WHITE-20217,2025-09-29
RM1620221,,0.0,PE-WHITE-20221,2025-09-29
RM1620370,,10.0,PE-WHITE-20370,2025-09-29
RM1620411,,66.0,PE-WHITE-20411,2025-09-29
RM1650000,,30.0,PE-YELLOW-50000,2025-09-29
RM1650012,,378.0,PE-YELLOW-50012,2025-09-29
RM1650014,,74.0,PE-YELLOW-50014,2025-09-29
RM1650035,,19.0,PE-YELLOW-50035,2025-09-29
RM1650044A,,89.0,PE-YELLOW-50044A,2025-09-29
RM1650063,,60.0,PE-YELLOW-50063,2025-09-29
RM1650124,,98.0,PE-YELLOW-50124,2025-09-29
RM1650126,,73.0,PE-YELLOW-50126,2025-09-29
RM1650127,,1.0,PE-YELLOW-50127,2025-09-29
RM1650129,,1000.0,PE-YELLOW-50129,2025-09-29
RM1650131,,230.0,PE-YELLOW-50131,2025-09-29
RM1650132,,796.0,PE-YELLOW-50132,2025-09-29
RM1650133,,31.0,PE-YELLOW-50133,2025-09-29
RM1650136,,360.0,PE-YELLOW-50136,2025-09-29
RM1650139,,5.0,PE-YELLOW-50139,2025-09-29
RM1650154,,29.0,PE-YELLOW-50154,2025-09-29
RM1650157,,14.0,PE-YELLOW-50157,2025-09-29
RM1650158,,255.0,PE-YELLOW-50158,2025-09-29
RM1650162,,79.0,PE-YELLOW-50162,2025-09-29
RM1650174,,10.0,PE-YELLOW-50174,2025-09-29
RM1650175,,135.0,PE-YELLOW-50175,2025-09-29
RM1650177,,9.0,PE-YELLOW-50177,2025-09-29
RM1650180,,168.0,PE-YELLOW-50180,2025-09-29
RM1650181,,0.0,PE-YELLOW-50181,2025-09-29
RM1650200,,3.0,PE-YELLOW-50200,2025-09-29
RM160105,,40.0,PVC-ADDITIVE-ATAR-0105,2025-09-29
RM160121,,14.0,PVC-ADDITIVE-UV-ADV-0121,2025-09-29
RM160110,,23.0,PVC-ADV-0110,2025-09-29
RM1691000,,342.0,PVC-BEIGE-91000,2025-09-29
RM1691020,,99.0,PVC-BEIGE-91020,2025-09-29
RM1691034,,24.0,PVC-BEIGE-91034,2025-09-29
RM1691041,,94.0,PVC-BEIGE-91041,2025-09-29
RM1691042,,113.0,PVC-BEIGE-91042,2025-09-29
RM1691043,,93.0,PVC-BEIGE-91043,2025-09-29
RM1691084,,74.0,PVC-BEIGE-91084,2025-09-29
RM1691087,,22.0,PVC-BEIGE-91087,2025-09-29
RM1691094,,118.0,PVC-BEIGE-91094,2025-09-29
RM1691520,,17.0,PVC-BEIGE-91520,2025-09-29
RM1611000,,395.0,PVC-BLACK-11000,2025-09-29
RM1611190,,950.0,PVC-BLACK-11190,2025-09-29
RM1611200,,400.0,PVC-BLACK-11200,2025-09-29
RM1611201,,304.0,PVC-BLACK-11201,2025-09-29
RM1611203,,344.0,PVC-BLACK-11203,2025-09-29
RM1611204,,860.0,PVC-BLACK-11204,2025-09-29
RM1611206,,525.0,PVC-BLACK-11206,2025-09-29
RM1611210,,109.0,PVC-BLACK-11210,2025-09-29
RM1611220,,95.0,PVC-BLACK-11220,2025-09-29
RM1611502,,806.0,PVC-BLACK-11502,2025-09-29
RM1611506,,75.0,PVC-BLACK-11506,2025-09-29
RM1611509,,170.0,PVC-BLACK-11509,2025-09-29
RM1611510,,2204.0,PVC-BLACK-11510,2025-09-29
RM1611515,,4011.0,PVC-BLACK-11515,2025-09-29
RM1611522,,272.0,PVC-BLACK-11522,2025-09-29
RM1611523,,190.0,PVC-BLACK-11523,2025-09-29
RM1611545,,338.0,PVC-BLACK-11545,2025-09-29
RM1611601,,3.0,PVC-BLACK-11601,2025-09-29
RM1661000,,717.0,PVC-BLUE-61000,2025-09-29
RM1661007,,623.0,PVC-BLUE-61007,2025-09-29
RM1661016,,888.0,PVC-BLUE-61016,2025-09-29
RM1661019,,162.0,PVC-BLUE-61019,2025-09-29
RM1661220,,24.0,PVC-BLUE-61220,2025-09-29
RM1661222,,387.0,PVC-BLUE-61222,2025-09-29
RM1661224,,442.0,PVC-BLUE-61224,2025-09-29
RM1661225,,15.0,PVC-BLUE-61225,2025-09-29
RM1661226,,342.0,PVC-BLUE-61226,2025-09-29
RM1661230,,99.0,PVC-BLUE-61230,2025-09-29
RM1661241,,1.0,PVC-BLUE-61241,2025-09-29
RM1661401,,4.0,PVC-BLUE-61401,2025-09-29
RM1661501,,497.0,PVC-BLUE-61501,2025-09-29
RM1661502,,1042.0,PVC-BLUE-61502,2025-09-29
RM1661507,,72.0,PVC-BLUE-61507,2025-09-29
RM1661533,,1213.0,PVC-BLUE-61533,2025-09-29
RM1661552,,744.0,PVC-BLUE-61552,2025-09-29
RM1661555,,294.0,PVC-BLUE-61555,2025-09-29
RM1661559,,31.0,PVC-BLUE-61559,2025-09-29
RM1661562,,25.0,PVC-BLUE-61562,2025-09-29
RM1661563,,75.0,PVC-BLUE-61563,2025-09-29
RM1661565,,15.0,PVC-BLUE-61565,2025-09-29
RM1661566,,16.0,PVC-BLUE-61566,2025-09-29
RM1661601,,292.0,PVC-BLUE-61601,2025-09-29
RM1661628,,45.0,PVC-BLUE-61628,2025-09-29
RM1661630,,175.0,PVC-BLUE-61630,2025-09-29
RM1661632,,22.0,PVC-BLUE-61632,2025-09-29
RM1661633,,136.0,PVC-BLUE-61633,2025-09-29
RM1661634,,48.0,PVC-BLUE-61634,2025-09-29
RM1661635,,169.0,PVC-BLUE-61635,2025-09-29
RM1661637,,398.0,PVC-BLUE-61637,2025-09-29
RM1661638,,25.0,PVC-BLUE-61638,2025-09-29
RM1661640,,45.0,PVC-BLUE-61640,2025-09-29
RM1661641,,317.0,PVC-BLUE-61641,2025-09-29
RM1661645,,116.0,PVC-BLUE-61645,2025-09-29
RM1661646,,44.0,PVC-BLUE-61646,2025-09-29
RM1661667,,57.0,PVC-BLUE-61667,2025-09-29
RM1661701,,9.0,PVC-BLUE-61701,2025-09-29
RM1661702,,8.0,PVC-BLUE-61702,2025-09-29
RM1661717,,75.0,PVC-BLUE-61717,2025-09-29
RM1661726,,25.0,PVC-BLUE-61726,2025-09-29
RM1661745,,44.0,PVC-BLUE-61745,2025-09-29
RM1661773,,10.0,PVC-BLUE-61773,2025-09-29
RM1661775,,17.0,PVC-BLUE-61775,2025-09-29
RM1661781,,86.0,PVC-BLUE-61781,2025-09-29
RM1691048,,38.0,PVC-BROWN-91048,2025-09-29
RM1691060,,6.0,PVC-BROWN-91060,2025-09-29
RM1691275,,356.0,PVC-BROWN-91275,2025-09-29
RM1691280,,100.0,PVC-BROWN-91280,2025-09-29
RM1691281,,361.0,PVC-BROWN-91281,2025-09-29
RM1691284,,50.0,PVC-BROWN-91284,2025-09-29
RM1691296,,17.0,PVC-BROWN-91296,2025-09-29
RM1691401,,75.0,PVC-BROWN-91401,2025-09-29
RM1691402,,264.0,PVC-BROWN-91402,2025-09-29
RM1691411,,203.0,PVC-BROWN-91411,2025-09-29
RM1691501,,400.0,PVC-BROWN-91501,2025-09-29
RM1691502,,113.0,PVC-BROWN-91502,2025-09-29
RM1691503,,1598.0,PVC-BROWN-91503,2025-09-29
RM1691504,,385.0,PVC-BROWN-91504,2025-09-29
RM1691510,,163.0,PVC-BROWN-91510,2025-09-29
RM1691514,,31.0,PVC-BROWN-91514,2025-09-29
RM1691517,,77.0,PVC-BROWN-91517,2025-09-29
RM1691518,,15.0,PVC-BROWN-91518,2025-09-29
RM1691519,,14.0,PVC-BROWN-91519,2025-09-29
RM1691521,,15.0,PVC-BROWN-91521,2025-09-29
RM1691522,,383.0,PVC-BROWN-91522,2025-09-29
RM1691613,,25.0,PVC-BROWN-91613,2025-09-29
RM1691701,,25.0,PVC-BROWN-91701,2025-09-29
RM1691712,,73.0,PVC-BROWN-91712,2025-09-29
RM1686601,,69.0,PVC-CMYK-86601,2025-09-29
RM16390422),,87.0,PVC COMPOUND- (HSN-390422),2025-09-29
RM1621183,,181.0,PVC-CREAM-21183,2025-09-29
RM1661648,,140.0,PVC-FEEROZE-61648,2025-09-29
RM1661650,,141.0,PVC-FEEROZE-61650,2025-09-29
RM1661651,,25.0,PVC-FEEROZE-61651,2025-09-29
RM1661652,,283.0,PVC-FEEROZE-61652,2025-09-29
RM1661725,,0.0,PVC-FEEROZE-61725,2025-09-29
RM1641245,,57.0,PVC-FLOROGREEN-41245,2025-09-29
"RM162506
",,50.0,"PVC-Green-2506
",2025-09-29
RM1641000,,627.0,PVC-GREEN-41000,2025-09-29
RM1641007,,19.0,PVC-GREEN-41007,2025-09-29
RM1641012,,1.0,PVC-GREEN-41012,2025-09-29
RM1641243,,75.0,PVC-GREEN-41243,2025-09-29
RM1641246,,25.0,PVC-GREEN-41246,2025-09-29
RM1641247,,49.0,PVC-GREEN-41247,2025-09-29
RM1641249,,175.0,PVC-GREEN-41249,2025-09-29
RM1641251,,17.0,PVC-GREEN-41251,2025-09-29
RM1641255,,154.0,PVC-GREEN-41255,2025-09-29
RM1641307,,170.0,PVC-GREEN-41307,2025-09-29
RM1641311,,25.0,PVC-GREEN-41311,2025-09-29
RM1641313,,50.0,PVC-GREEN-41313,2025-09-29
RM1641314,,81.0,PVC-GREEN-41314,2025-09-29
RM1641396,,43.0,PVC-GREEN-41396,2025-09-29
RM1641403,,50.0,PVC-GREEN-41403,2025-09-29
RM1641410,,117.0,PVC-GREEN-41410,2025-09-29
RM1641411,,329.0,PVC-GREEN-41411,2025-09-29
RM1641414,,123.0,PVC-GREEN-41414,2025-09-29
RM1641415,,338.0,PVC-GREEN-41415,2025-09-29
RM1641425,,12.0,PVC-GREEN-41425,2025-09-29
RM1641426,,75.0,PVC-GREEN-41426,2025-09-29
RM1641430,,9.0,PVC-GREEN-41430,2025-09-29
RM1641448,,12.0,PVC-GREEN-41448,2025-09-29
RM1641451,,25.0,PVC-GREEN-41451,2025-09-29
RM1641453,,83.0,PVC-GREEN-41453,2025-09-29
RM1641461,,12.0,PVC-GREEN-41461,2025-09-29
RM1641463,,139.0,PVC-GREEN-41463,2025-09-29
RM1641495,,55.0,PVC-GREEN-41495,2025-09-29
RM1641496,,14.0,PVC-GREEN-41496,2025-09-29
RM1641501,,15.0,PVC-GREEN-41501,2025-09-29
RM1641502,,188.0,PVC-GREEN-41502,2025-09-29
RM1641503,,320.0,PVC-GREEN-41503,2025-09-29
RM1641504,,38.0,PVC-GREEN-41504,2025-09-29
RM1641508,,29.0,PVC-GREEN-41508,2025-09-29
RM1641517,,112.0,PVC-GREEN-41517,2025-09-29
RM1641518,,74.0,PVC-GREEN-41518,2025-09-29
RM1641520,,91.0,PVC-GREEN-41520,2025-09-29
RM1641521,,75.0,PVC-GREEN-41521,2025-09-29
RM1641581,,141.0,PVC-GREEN-41581,2025-09-29
RM1641598,,615.0,PVC-GREEN-41598,2025-09-29
RM1641701,,57.0,PVC-GREEN-41701,2025-09-29
RM1641702,,20.0,PVC-GREEN-41702,2025-09-29
RM1616000,,211.0,PVC-GREY-16000,2025-09-29
RM1616117,,186.0,PVC-GREY-16117,2025-09-29
RM1616120,,617.0,PVC-GREY-16120,2025-09-29
RM1616128,,56.0,PVC-GREY-16128,2025-09-29
RM1616501,,416.0,PVC-GREY-16501,2025-09-29
RM1616502,,100.0,PVC-GREY-16502,2025-09-29
RM1616503,,171.0,PVC-GREY-16503,2025-09-29
RM1616506,,74.0,PVC-GREY-16506,2025-09-29
RM1616507,,2717.0,PVC-GREY-16507,2025-09-29
RM1616508,,413.0,PVC-GREY-16508,2025-09-29
RM1616509,,5.0,PVC-GREY-16509,2025-09-29
RM1616511,,13.0,PVC-GREY-16511,2025-09-29
RM1616512,,25.0,PVC-GREY-16512,2025-09-29
RM1616515,,14.0,PVC-GREY-16515,2025-09-29
RM1616548,,755.0,PVC-GREY-16548,2025-09-29
RM1616710,,28.0,PVC-GREY-16710,2025-09-29
RM1616716,,122.0,PVC-GREY-16716,2025-09-29
RM1616735,,100.0,PVC-GREY-16735,2025-09-29
RM1616740,,101.0,PVC-GREY-16740,2025-09-29
RM1616741,,56.0,PVC-GREY-16741,2025-09-29
RM1616744,,103.0,Pvc-Grey-16744,2025-09-29
RM1616142,,124.0,PVC-GREY-DK-16142,2025-09-29
RM1616112,,621.0,PVC-GREY-LT-16112,2025-09-29
RM1616141,,471.0,PVC-GREY-LT-16141,2025-09-29
RM1616160,,150.0,PVC-GREY-LT-16160,2025-09-29
RM1661600,,9.0,PVC-METALIC-BLUE-61600,2025-09-29
RM1671022,,51.0,PVC-ORANGE-71022,2025-09-29
RM1671034,,25.0,Pvc-Orange-71034,2025-09-29
RM1671037,,97.0,PVC-ORANGE-71037,2025-09-29
RM1671261,,511.0,PVC-ORANGE-71261,2025-09-29
RM1671271,,78.0,PVC-ORANGE-71271,2025-09-29
RM1671280,,75.0,PVC-ORANGE-71280,2025-09-29
RM1671282,,14.0,PVC-ORANGE-71282,2025-09-29
RM1671286,,183.0,PVC-ORANGE-71286,2025-09-29
RM1671501,,1100.0,PVC-ORANGE-71501,2025-09-29
RM1671503,,50.0,PVC-ORANGE-71503,2025-09-29
RM1671506,,15.0,PVC-ORANGE-71506,2025-09-29
RM1671524,,50.0,PVC-ORANGE-71524,2025-09-29
RM1671575,,1174.0,PVC-ORANGE-71575,2025-09-29
RM1686000,,478.0,PVC-PINK-86000,2025-09-29
RM1686010,,136.0,PVC-PINK-86010,2025-09-29
RM1686016,,122.0,PVC-PINK-86016,2025-09-29
RM1686213,,60.0,PVC-PINK-86213,2025-09-29
RM1686226,,190.0,PVC-PINK-86226,2025-09-29
RM1686228,,75.0,PVC-PINK-86228,2025-09-29
RM1686231,,243.0,PVC-PINK-86231,2025-09-29
RM1686402,,5.0,PVC-PINK-86402,2025-09-29
RM1686412,,0.0,PVC-PINK-86412,2025-09-29
RM1686502,,36.0,PVC-PINK-86502,2025-09-29
RM1686511,,62.0,PVC-PINK-86511,2025-09-29
RM1686515,,93.0,PVC-PINK-86515,2025-09-29
RM1686516,,622.0,PVC-PINK-86516,2025-09-29
RM1686519,,6.0,PVC-PINK-86519,2025-09-29
RM1686584,,79.0,PVC-PINK-86584,2025-09-29
RM1686701,,64.0,PVC-PINK-86701,2025-09-29
RM1686705,,33.0,PVC-PINK-86705,2025-09-29
RM1691057,,25.0,PVC-PINK-91057,2025-09-29
RM1631000,,146.0,PVC-RED-31000,2025-09-29
RM1631001,,179.0,PVC-RED-31001,2025-09-29
RM1631002,,362.0,PVC-RED-31002,2025-09-29
RM1631004,,172.0,PVC-RED-31004,2025-09-29
RM1631014,,24.0,PVC-RED -31014,2025-09-29
RM1631033,,64.0,PVC-RED-31033,2025-09-29
RM1631043,,45.0,PVC-RED -31043,2025-09-29
RM1631046,,220.0,PVC-RED-31046,2025-09-29
RM1631207,,21.0,PVC-RED-31207,2025-09-29
RM1631209,,362.0,PVC-RED-31209,2025-09-29
RM1631211,,711.0,PVC-RED-31211,2025-09-29
RM1631215,,49.0,PVC-RED-31215,2025-09-29
RM1631225,,17.0,PVC-RED-31225,2025-09-29
RM1631227,,1.0,PVC-RED-31227,2025-09-29
RM1631229,,330.0,PVC-RED-31229,2025-09-29
RM1631230,,79.0,PVC-RED-31230,2025-09-29
RM1631401,,643.0,PVC-RED-31401,2025-09-29
RM1631403,,25.0,PVC-RED-31403,2025-09-29
